"Time (s)";"Acceleration x (m/s^2)";"Acceleration y (m/s^2)";"Acceleration z (m/s^2)";"Absolute acceleration (m/s^2)"
4.233179160E-1;-4.451846600E0;8.734998703E0;1.792822361E0;9.966611887E0
4.254793640E-1;-4.485345840E0;8.696713448E0;1.788634896E0;9.947379901E0
4.276650330E-1;-4.514060020E0;8.668000221E0;1.812563181E0;9.939635355E0
4.298315880E-1;-4.514060020E0;8.653642654E0;1.822134495E0;9.928869179E0
4.319971770E-1;-4.552345276E0;8.639286041E0;1.836491346E0;9.936488881E0
4.341735770E-1;-4.561916351E0;8.657830238E0;1.855633974E0;9.960546304E0
4.363361550E-1;-4.585844517E0;8.643473625E0;1.889133453E0;9.965361581E0
4.385227090E-1;-4.614558697E0;8.653044701E0;1.922034740E0;9.993175276E0
4.406894480E-1;-4.633102894E0;8.638688087E0;1.950748682E0;9.994898435E0
4.428636930E-1;-4.647459984E0;8.590831757E0;1.970489502E0;9.964140879E0
4.450313650E-1;-4.661816597E0;8.609973907E0;2.027318954E0;9.998710258E0
4.472031090E-1;-4.657031059E0;8.595617294E0;2.056631088E0;9.990110429E0
4.493755640E-1;-4.685744762E0;8.581260681E0;2.070987940E0;9.994159790E0
4.515468500E-1;-4.695316315E0;8.595019341E0;2.127817631E0;1.002237300E1
4.537168220E-1;-4.676173687E0;8.590232849E0;2.185245275E0;1.002167639E1
4.558866720E-1;-4.690530777E0;8.590232849E0;2.252244234E0;1.004319588E1
4.580504910E-1;-4.685744762E0;8.614161491E0;2.280958176E0;1.006790705E1
4.602016750E-1;-4.690530777E0;8.638090134E0;2.290529490E0;1.009277987E1
4.623996740E-1;-4.666602135E0;8.681160927E0;2.309073925E0;1.012282337E1
4.645684850E-1;-4.685744762E0;8.681160927E0;2.280359983E0;1.012515682E1
4.667467590E-1;-4.709673405E0;8.709874153E0;2.275574446E0;1.015978201E1
4.689126840E-1;-4.752744198E0;8.724231720E0;2.299502611E0;1.019747561E1
4.710865430E-1;-4.767100811E0;8.771489143E0;2.351546526E0;1.025641472E1
4.732564850E-1;-4.771886349E0;8.790632248E0;2.394617319E0;1.028495536E1
4.754264060E-1;-4.786243439E0;8.833703041E0;2.413161755E0;1.033275304E1
4.775971930E-1;-4.791028976E0;8.852845192E0;2.446661234E0;1.035919774E1
4.797647350E-1;-4.805386066E0;8.895915985E0;2.475374937E0;1.040944463E1
4.819286250E-1;-4.815555573E0;8.943174362E0;2.493919373E0;1.045894722E1
4.841087800E-1;-4.782055855E0;8.986245155E0;2.536990166E0;1.049080451E1
4.862732290E-1;-4.767699242E0;9.029315948E0;2.589034081E0;1.053387868E1
4.884570370E-1;-4.767699242E0;9.091529846E0;2.621935368E0;1.059534879E1
4.906184040E-1;-4.796412945E0;9.125029564E0;2.645863533E0;1.064294769E1
4.927742060E-1;-4.834698200E0;9.148957253E0;2.665006161E0;1.068550342E1
4.949520310E-1;-4.820341110E0;9.158528328E0;2.693720102E0;1.069441244E1
4.971370600E-1;-4.834698200E0;9.196215630E0;2.736192703E0;1.074390241E1
4.993125870E-1;-4.877768993E0;9.239286423E0;2.788834810E0;1.081363230E1
5.014788170E-1;-4.887340069E0;9.272786140E0;2.788236618E0;1.084642426E1
5.036410180E-1;-4.935196877E0;9.291928291E0;2.816950560E0;1.089180013E1
