"Time (s)";"Acceleration x (m/s^2)";"Acceleration y (m/s^2)";"Acceleration z (m/s^2)";"Absolute acceleration (m/s^2)"
4.498554780E-1;-4.420739710E-1;4.741976261E0;8.371290207E0;9.631213215E0
4.520226340E-1;-4.325026870E-1;4.761118889E0;8.380861282E0;9.648530846E0
4.542046200E-1;-4.277170599E-1;4.789832592E0;8.404789925E0;9.683281046E0
4.563632920E-1;-4.133601189E-1;4.775475979E0;8.452646255E0;9.717163482E0
4.585231330E-1;-3.942175210E-1;4.785047054E0;8.486145973E0;9.750218266E0
4.607105710E-1;-3.798605800E-1;4.775475979E0;8.529216766E0;9.782484528E0
4.628815010E-1;-3.607180119E-1;4.780261517E0;8.553144455E0;9.804962913E0
4.650553590E-1;-3.607180119E-1;4.785047054E0;8.619544983E0;9.865259678E0
4.672179880E-1;-3.511467278E-1;4.785047054E0;8.633902550E0;9.877461849E0
4.693736270E-1;-3.367897868E-1;4.765904427E0;8.648857117E0;9.880789533E0
4.715647890E-1;-3.559323549E-1;4.761118889E0;8.696115494E0;9.920552686E0
4.737344470E-1;-3.272185028E-1;4.746761799E0;8.706285477E0;9.921604020E0
4.759105240E-1;-3.224328458E-1;4.722833633E0;8.768498421E0;9.964722024E0
4.780712910E-1;-3.272185028E-1;4.712664127E0;8.801998138E0;9.989566875E0
4.802271430E-1;-3.415754437E-1;4.698307037E0;8.830712318E0;1.000860844E1
4.824169120E-1;-3.415754437E-1;4.698307037E0;8.821140289E0;1.000016394E1
4.845883190E-1;-3.559323549E-1;4.683950424E0;8.854640007E0;1.002350882E1
4.867603870E-1;-3.559323549E-1;4.693521500E0;8.830712318E0;1.000686324E1
4.889231690E-1;-3.415754437E-1;4.698307037E0;8.821140289E0;1.000016394E1
4.911211460E-1;-3.744767308E-1;4.679164886E0;8.830712318E0;1.000081481E1
4.932739170E-1;-3.744767308E-1;4.674378872E0;8.840283394E0;1.000703059E1
4.954476230E-1;-3.840480447E-1;4.669593334E0;8.873783112E0;1.003477063E1
4.976122350E-1;-3.888336718E-1;4.660022259E0;8.873783112E0;1.003050476E1
4.997894710E-1;-3.984049559E-1;4.650450706E0;8.892925262E0;1.004338280E1
5.019714680E-1;-3.936193287E-1;4.645665169E0;8.902496338E0;1.004945681E1
5.041282060E-1;-4.223332107E-1;4.698307037E0;8.897710800E0;1.007083471E1
5.062983210E-1;-4.271188378E-1;4.741377831E0;8.949754715E0;1.013712009E1
